Model,Model_Type,Training_Score,Sensitivity_(TPR),Specificity_(TNR),Precision_(PPV),Accuracy,Log_Loss,F1,ROC_AUC,PR_AUC,L2_loss
LogisticRegression,LogisticRegression,0.7784395473496128,0.5080645161290323,0.902027027027027,0.6847826086956522,0.7857142857142857,0.5035523908876821,0.5833333333333334,0.7461039668700958,0.6365319116506799,0.21428571428571427
DecisionTreeClassifier,DecisionTreeClassifier,0.9249553305539011,0.5403225806451613,0.8513513513513513,0.6036036036036037,0.7595238095238095,7.2406228882096775,0.5702127659574469,0.6998419790758501,0.4896337883381231,0.24047619047619048
RandomForestClassifier,RandomForestClassifier,0.9243597379392495,0.5725806451612904,0.8885135135135135,0.6826923076923077,0.7952380952380952,1.3596157613705377,0.6228070175438597,0.7865763949433304,0.6625466848144856,0.20476190476190476
GradientBoostingClassifier,GradientBoostingClassifier,0.8457415128052412,0.5080645161290323,0.9155405405405406,0.7159090909090909,0.7952380952380952,0.4736276837413894,0.5943396226415094,0.7985914341761116,0.6656709532478897,0.20476190476190476
Logistic_Regression_kf,LogisticRegression,0.782515173430897,0.5014135082101736,,0.7376223333565415,0.7798943061711558,0.5044710332047895,0.766770592005307,0.7668138690932095,0.6891924098089313,0.2201056938288442
Decision_Tree_kf,DecisionTreeClassifier,0.9279415184775518,0.5470143389279707,,0.654902158489115,0.758933969769292,6.745934444265728,0.7526207452617066,0.7210034652796609,0.5468188008456284,0.24106603023070802
Random_Forest_kf,RandomForestClassifier,0.9274650443858306,0.5626183432428755,,0.697370188443522,0.7789430617115581,1.095069434852471,0.7719459117723694,0.7882209801999153,0.7137041934378733,0.2210569382884419
Gradient_Boosting_kf,GradientBoostingClassifier,0.8442119742477099,0.5338988068867669,,0.79072097626651,0.8027696329128311,0.4585280777535872,0.7907584504513212,0.8159962339008932,0.746544139344113,0.197230367087169
Logistic_Regression_pipe,LogisticRegression,0.7790351399642644,0.5080645161290323,0.902027027027027,0.6847826086956522,0.7857142857142857,0.5043782446600059,0.5833333333333334,0.7449869224062773,0.6362784903039039,0.21428571428571427
Decision_Tree_pipe,DecisionTreeClassifier,0.9249553305539011,0.5564516129032258,0.8547297297297297,0.6160714285714286,0.7666666666666667,6.898315391904056,0.5847457627118644,0.7163796861377507,0.505439452266826,0.23333333333333334
Random_Forest_pipe,RandomForestClassifier,0.9249553305539011,0.5806451612903226,0.8918918918918919,0.6923076923076923,0.8,1.125446206736485,0.631578947368421,0.7903634481255449,0.6832283750855331,0.2
Gradient_Boosting_pipe,GradientBoostingClassifier,0.8457415128052412,0.5080645161290323,0.9155405405405406,0.7159090909090909,0.7952380952380952,0.47320882081537236,0.5943396226415094,0.798754904097646,0.666325328197549,0.20476190476190476
